name,lat,long,dated,personal,family,quant,reading
DR-1,-49.85,-128.57,1927-02-08,William,Dyer,rad,9.82
DR-1,-49.85,-128.57,1927-02-08,William,Dyer,sal,0.13
DR-1,-49.85,-128.57,1927-02-10,William,Dyer,rad,7.8
DR-1,-49.85,-128.57,1927-02-10,William,Dyer,sal,0.09
DR-3,-47.15,-126.72,1930-01-07,Anderson,Lake,sal,0.05
DR-3,-47.15,-126.72,1930-01-07,Frank,Pabodie,rad,8.41
DR-3,-47.15,-126.72,1930-01-07,Frank,Pabodie,temp,-21.5
DR-3,-47.15,-126.72,1930-01-12,Frank,Pabodie,rad,7.22
DR-3,-47.15,-126.72,1930-02-26,Anderson,Lake,sal,0.1
DR-3,-47.15,-126.72,1930-02-26,Frank,Pabodie,rad,4.35
DR-3,-47.15,-126.72,1930-02-26,Frank,Pabodie,temp,-18.5
MSK-4,-48.87,-123.4,1932-01-14,Anderson,Lake,rad,1.46
MSK-4,-48.87,-123.4,1932-01-14,Anderson,Lake,sal,0.21
MSK-4,-48.87,-123.4,1932-01-14,Valentina,Roerich,sal,22.5
DR-1,-49.85,-128.57,1932-03-22,Valentina,Roerich,rad,11.25
